,District,School Code,School Name,number,score,vote
749,Rialto Unified,102830,Wilmer Amina Carter High,1138,44.1063268893,0.666440562998
750,Beaumont Unified,3330479,Beaumont Senior High,812,53.1908866995,0.465511092089
751,Twin Rivers Unified,3436979,Rio Linda High,406,36.9975369458,0.671213208902
752,San Francisco Unified,3830197,Independence High,11,22.0,0.825506052539
753,Lake Elsinore Unified,3330487,Temescal Canyon High,592,42.7804054054,0.453914327917
754,Wasco Union High,1536440,Wasco High,1076,43.7611524164,0.391639871383
755,Garden Grove Unified,3035581,Pacifica High,313,54.6166134185,0.475728758779
756,Temecula Valley Unified,3330495,Rancho Vista High,58,17.0,0.408742194469
757,Hemet Unified,3330503,Helen Hunt Jackson Alternativ,110,37.0727272727,0.467771639042
758,El Rancho Unified,1932706,El Rancho High,2079,48.8821548822,0.730475398805
759,Riverside Unified,3330511,Opportunity Program,127,4.22834645669,0.55196454629
760,East Nicolaus Joint Union High,5132758,East Nicolaus High,62,58.1290322581,0.361258278146
761,Tustin Unified,102871,Arnold O. Beckman High,494,53.4392712551,0.624855443582
762,West Contra Costa Unified,733659,Kennedy High,340,15.2088235294,0.886746643816
763,Los Angeles County Office of Education,1995232,Special Education,88,14.3409090909,0.755491167399
764,Murrieta Valley Unified,3330529,Murrieta Valley High,423,64.1442080378,0.551023137622
765,Hemet Unified,3330537,West Valley High,643,46.7791601866,0.410739052903
766,San Francisco Unified,3830254,Burton (Phillip and Sala) Aca,126,34.0714285714,0.852908045296
767,Whittier Union High,1937903,Santa Fe High,1763,51.0737379467,0.783517010062
768,Jurupa Unified,3330545,Rio Vista High,31,6.77419354839,0.58273381295
769,Val Verde Unified,3330552,Rancho Verde High,1575,48.9923809524,0.553964887475
770,Los Angeles County Office of Education,1995257,Alternative Opportunity Progra,116,12.8620689655,0.755491167399
771,Fortuna Union High,1233402,Fortuna Union High,86,47.6279069767,0.516473887136
772,Val Verde Unified,3330560,Val Verde High,143,6.0,0.624669797476
773,Los Angeles Unified,102913,Middle College High,181,67.7127071823,0.73945599022
774,Los Angeles Unified,102921,Harbor Teacher Preparation Ac,175,91.1142857143,0.810384159139
775,San Francisco Unified,3830288,Balboa High,216,41.412037037,0.857183118439
776,Jefferson Union High,4133393,Jefferson High,385,33.5298701299,0.809661649299
777,Palm Springs Unified,3330578,Cathedral City High,1565,39.0645367412,0.696723575888
778,Corona-Norco Unified,3330586,Lee V. Pollard High (Cont.),219,13.0,0.581043375328
779,Acalanes Union High,733725,Las Lomas High,106,56.0943396226,0.74777603349
780,East Side Union High,4330015,Yerba Buena High,683,24.8931185944,0.796362220492
781,Corona-Norco Unified,3330594,"Centennial Vista High, Cont.",15,0.0,0.432162875041
782,East Side Union High,4330023,Santa Teresa High,585,46.6512820513,0.723253757737
783,Oakland Unified,102954,Business & Information Tech,53,5.96226415094,0.879256384577
784,East Side Union High,4330031,Independence High,706,31.447592068,0.800276490201
785,Oakland Unified,102962,E. Oakland Sch. of the Arts,52,27.1538461538,0.879256384577
786,Garden Grove Unified,3035706,Rancho Alamitos High,687,40.3420669578,0.61663399608
787,Vista Unified,3732039,Alta Vista High (Continuation,79,10.0,0.523737297133
788,Temecula Valley Unified,3330636,Susan H. Nelson High,38,26.4736842105,0.408742194469
789,Sweetwater Union High,3732047,"Palomar High, Cont.",150,11.28,0.754016957886
790,Santa Monica-Malibu Unified,1938000,Santa Monica High,817,57.5813953488,0.83513562224
791,San Francisco Unified,3830353,Intl Studies Academy,63,22.0634920635,0.938828162129
792,Stockton Unified,3930211,Jane Frederick High,71,8.3661971831,0.702338562217
793,Murrieta Valley Unified,3330644,Creekside High,40,20.0,0.551023137622
794,Santa Clara County Office of Education,4330254,Juvenile Hall,96,0.916666666667,0.773514246947
795,Escondido Union High,3732054,"Valley High, Cont.",213,6.49295774648,0.369605142332
796,Kern Union High,1536606,West High,916,40.9508733624,0.40262955988
797,San Jose Unified,4330080,Gunderson High,456,29.5855263158,0.726104035234
798,Orange Unified,3035748,Richland Continuation High,142,6.0,0.569069526537
799,Livermore Valley Joint Unified,130492,Phoenix High (Continuation),18,0.0,0.429708222812
800,Placentia-Yorba Linda Unified,119404,Yorba Linda High,186,65.4301075269,0.502101078932
801,Desert Sands Unified,3330669,La Quinta High,1202,56.5831946755,0.441717002956
802,San Francisco Unified,3830387,Asawa (Ruth) San Francisco Sc,55,74.5272727273,0.886606782398
803,Riverside Unified,3330677,"Raincross High, Cont.",69,9.01449275362,0.55196454629
804,San Francisco Unified,3830403,Marshall (Thurgood) High,82,15.8170731707,0.868364791399
805,Antelope Valley Union High,1995398,Highland High,1166,46.6749571184,0.419696176008
