,District,School Code,School Name,number,score,vote
499,Santa Clara Unified,4330122,Santa Clara High,352,66.8579545455,0.759868102027
500,Chico Unified,437558,Pleasant Valley High,963,66.3281412253,0.603331616005
501,Ojai Unified,5631817,"Chaparral High, Cont.",11,9.0,0.84126984127
502,Los Angeles Unified,1937226,Reseda Senior High,157,55.6050955414,0.695140327745
503,Saddleback Valley Unified,3034956,Mission Viejo High,1135,80.6801762115,0.451074193268
504,Lake Tahoe Unified,937805,South Tahoe High,388,66.0051546392,0.624022850271
505,Mendocino County Office of Education,2330447,Mendocino County,33,9.39393939394,0.660858656259
506,Natomas Unified,102236,Inderkum High,138,59.8405797101,0.673096841015
507,Fresno Unified,1034214,McLane High,82,34.6097560976,0.661297115182
508,Rialto Unified,3633005,Eisenhower Senior High,48,58.25,0.787734487734
509,Maxwell Unified,634758,Maxwell High,47,65.829787234,0.436413043478
510,Santa Maria Joint Union High,102285,Pioneer Valley High,104,72.2019230769,0.488544474394
511,Tahoe-Truckee Joint Unified,3130010,North Tahoe High,133,79.2180451128,0.728649068323
512,Antioch Unified,110494,Bidwell Continuation High,14,21.0,0.672449179046
513,Taft Union High,1535905,Taft Union High,343,50.8483965015,0.20869051138
514,Newport-Mesa Unified,3035045,Newport Harbor High,1062,85.6525423729,0.475611111111
515,Santa Rosa High,4935607,"Ridgway High, Cont.",44,33.5,0.790831501358
516,Madera Unified,2035640,Furman (Duane E.) High (Indep,12,50.0,0.410989010989
517,Acalanes Union High,731125,Campolindo High,634,86.8249211356,0.734268014346
518,Hanford Joint Union High,1634245,"Johnson High, Continuation",16,25.0,0.44391025641
519,Cabrillo Unified,4132817,Half Moon Bay High,332,78.3253012048,0.779235816287
520,Alvord Unified,3330008,La Sierra High,361,64.891966759,0.643411521214
521,Irvine Unified,3035102,University High,668,76.7065868263,0.603829271984
522,Morgan Hill Unified,102368,Ann Sobrato High,439,74.2141230068,0.638397924437
523,Riverside Unified,3330024,Arlington High,356,63.9550561798,0.510457937897
524,Modoc Joint Unified,2535409,Modoc High,128,50.75,0.263610315186
525,San Rafael City High,2134005,Terra Linda High,346,84.3323699422,0.81294144452
526,Madera Unified,2035707,Madera High,270,67.5666666667,0.410989010989
527,Modesto City High,110593,James C. Enochs High,701,74.0556348074,0.508668368432
528,Winters Joint Unified,5738505,Winters High,134,72.5149253731,0.664647577093
529,Ferndale Unified,1232909,Ferndale High,70,52.7428571429,0.416184971098
530,Hemet Unified,3330065,Alessandro High,82,15.0,0.515662650602
531,Redlands Unified,118802,Citrus Valley High,530,72.558490566,0.471585244267
532,Coronado Unified,3731478,Coronado High,606,82.2607260726,0.745991983968
533,Corona-Norco Unified,110627,Eleanor Roosevelt High,496,72.7540322581,0.482492997199
534,Sweetwater Union High,3731502,San Ysidro High,12,67.0,0.682982917214
535,William S. Hart Union High,102459,Golden Valley High,402,70.3532338308,0.49361667744
536,Huntington Beach Union High,3030368,Coast High,55,45.4545454545,0.541914303504
537,Lake Elsinore Unified,3330115,Ortega High,15,13.0,0.424122505162
538,Davis Joint Unified,6066245,Emerson (Ralph Waldo) Jr. High,94,89.0,0.630025125628
539,Poway Unified,3731528,Westview High,871,81.6371986223,0.591692046533
540,El Monte Union High,1937481,Rosemead High,13,54.0,0.768164542812
541,Tulare Joint Union High,5435466,Tulare Western High,224,61.6294642857,0.509095204347
542,William S. Hart Union High,102475,West Ranch High,1084,72.9151291513,0.5759864074
543,Fremont Unified,135244,Mission San Jose High,149,86.4832214765,0.760144024373
544,Grossmont Union High,3731536,Grossmont Middle College,30,83.0,0.515742630575
545,Corona-Norco Unified,3330131,Corona-Norco Alternative,12,50.0,0.581043375328
546,Hanford Joint Union High,1634401,Hanford High,348,57.9137931034,0.44391025641
547,Los Gatos-Saratoga Joint Union High,4337762,Saratoga High,330,81.2787878788,0.754259501966
548,Desert Sands Unified,118885,Shadow Hills High,135,64.637037037,0.77288776797
549,Perris Union High,3330172,"Perris Lake High, Cont.",21,19.0,0.527151211362
550,William S. Hart Union High,1932532,Learning Post High (Alternati,53,63.8867924528,0.554459064327
551,Hanford Joint Union High,118919,Sierra Pacific High,197,64.3756345178,0.44391025641
552,South Monterey County Joint Union High,2732170,King City High,77,82.8181818182,0.716332378223
553,Fontana Unified,3633302,Fontana High,63,49.2222222222,0.771014492754
554,Poway Unified,118935,Del Norte High,704,76.8181818182,0.508341323106
555,Rowland Unified,1937564,Rowland (John A.) High,87,66.6551724138,0.608023676422
556,Banning Unified,3330214,Banning High,104,34.6057692308,0.584521384929
557,Corona-Norco Unified,110759,John F. Kennedy High,139,78.8776978417,0.531968867109
558,San Juan Unified,3436714,Rio Americano High,832,69.9002403846,0.611632083001
559,Sweetwater Union High,3731627,Otay Ranch Senior High,189,80.0529100529,0.670869631667
560,Petaluma Joint Union High,4935862,San Antonio High (Continuatio,25,23.64,0.730907227063
561,Yucaipa-Calimesa Joint Unified,3633351,Green Valley High,21,10.0,0.358327277532
562,Brawley Union High,1331404,Brawley High,131,70.7709923664,0.738867620391
563,San Mateo Union High,4133070,Hillsdale High,331,75.9486404834,0.77701379936
564,Shasta County Office of Education,118992,Magnolia Independent Learning,29,13.8620689655,0.364373962751
565,Grossmont Union High,3731692,El Cajon Valley High,647,19.658423493,0.342849483983
566,East Side Union High,4337903,Silver Creek High,61,73.7704918033,0.769087001215
567,San Luis Coastal Unified,4034807,Morro Bay High,363,70.5867768595,0.590957165521
568,Lake Tahoe Unified,930040,Mt. Tallac High,12,0.0,0.624022850271
569,Tracy Joint Unified,119040,John C. Kimball High,443,67.0925507901,0.642056436026
570,Plumas Unified,3232006,Chester Junior/Senior High,95,62.2526315789,0.274886877828
571,Orange Unified,3035409,Orange High,156,60.2756410256,0.527569264365
572,Anderson Valley Unified,2330900,Anderson Valley Jr./Sr. High,11,73.0,0.535087719298
573,Black Oak Mine Unified,930073,Golden Sierra High,310,55.3225806452,0.279220779221
574,Santa Maria Joint Union High,4231452,Delta High,11,0.0,0.450858940237
575,El Dorado Union High,930081,Oak Ridge High,1223,81.035159444,0.455793357934
576,Shoreline Unified,2134310,Tomales High,76,65.8157894737,0.781772575251
577,Coachella Valley Unified,3330354,West Shores High,14,50.0,0.499082568807
578,Riverside Unified,3330362,Summit View Ind. Stdy.,76,31.5526315789,0.591321544905
579,Mountain Valley Unified,5337407,Hayfork High,45,55.7555555556,0.453675730111
580,Temecula Valley Unified,3330370,Temecula Valley High,999,74.2292292292,0.403044103547
581,Desert Sands Unified,3330388,Palm Desert High,688,80.8531976744,0.49119903716
582,San Marino Unified,1937754,San Marino High,256,90.50390625,0.741007925218
583,Galt Joint Union High,119131,Liberty Ranch High,411,64.6739659367,0.456262332049
584,Moreno Valley Unified,3330396,Canyon Springs High,304,62.2796052632,0.595724082291
585,Grossmont Union High,3731809,El Capitan High,811,50.2996300863,0.278588807786
586,El Dorado Union High,930149,"Independent Learning Ctr., Alt",54,31.2962962963,0.469911783239
587,Jurupa Unified,3330412,Jurupa Valley High,157,49.0127388535,0.608770633161
588,Castro Valley Unified,135533,Redwood Continuation High,42,19.5,0.749482517483
