A:group1,B:group2,C:test,D:corr,E:counts,F:mean,G:std,H:corr_w_1
hispanic_econ_dis,hispanic,math,-0.316,372,0.851,2.908,-0.179
hispanic_econ_dis,hispanic_econ_dis,math,nan,372,0.000,0.000,-0.179
hispanic_econ_dis,hispanic_econ_ok,math,-0.201,216,7.681,9.132,-0.179
hispanic_econ_dis,male,math,-0.255,364,3.959,7.245,-0.171
hispanic_econ_dis,white,math,0.162,151,20.009,12.520,0.034
hispanic_econ_dis,white_econ_dis,math,0.312,110,15.550,12.740,0.031
hispanic_econ_dis,white_econ_ok,math,0.401,118,26.739,13.689,0.022
hispanic_econ_ok,afam,math,-0.218,143,-3.096,11.689,-0.264
hispanic_econ_ok,afam_econ_dis,math,-0.188,105,-5.767,11.180,-0.242
hispanic_econ_ok,afam_econ_ok,math,-0.151,90,2.454,12.864,-0.274
hispanic_econ_ok,all,math,-0.047,227,-1.032,9.651,-0.262
hispanic_econ_ok,asian,math,-0.088,131,25.711,11.257,-0.330
hispanic_econ_ok,asian_econ_dis,math,-0.005,91,23.709,14.661,-0.284
hispanic_econ_ok,asian_econ_ok,math,-0.028,93,31.095,11.290,-0.258
hispanic_econ_ok,econ_dis,math,0.195,225,-4.949,10.181,-0.251
hispanic_econ_ok,econ_ok,math,-0.014,227,4.538,8.722,-0.262
hispanic_econ_ok,female,math,-0.041,227,-0.124,10.005,-0.262
hispanic_econ_ok,hispanic,math,0.045,227,-6.052,7.668,-0.262
hispanic_econ_ok,hispanic_econ_dis,math,0.201,216,-7.681,9.132,-0.253
hispanic_econ_ok,hispanic_econ_ok,math,nan,227,0.000,0.000,-0.262
hispanic_econ_ok,male,math,-0.046,227,-1.546,9.416,-0.262
hispanic_econ_ok,white,math,0.382,149,10.498,13.057,-0.158
hispanic_econ_ok,white_econ_dis,math,0.447,106,5.980,15.342,-0.223
hispanic_econ_ok,white_econ_ok,math,0.503,124,15.722,15.209,-0.148
male,afam,math,-0.156,174,-2.916,10.107,-0.309
male,afam_econ_dis,math,-0.196,131,-3.694,10.706,-0.239
male,afam_econ_ok,math,-0.075,93,0.661,11.428,-0.265
male,all,math,-0.070,394,0.173,3.262,-0.248
male,asian,math,-0.008,146,23.053,12.069,-0.420
male,asian_econ_dis,math,0.030,105,21.218,15.273,-0.390
male,asian_econ_ok,math,0.029,97,27.268,12.866,-0.277
male,econ_dis,math,0.331,386,-2.173,5.387,-0.252
