,District,School Code,School Name,number,score,vote
287,Fairfield-Suisun Unified,4830170,Rodriguez (Angelo) High,502,50.8784860558,0.658152554234
288,ABC Unified,1931880,Whitney (Gretchen) High,23,100.0,0.669346150659
289,Elk Grove Unified,105916,Monterey Trail High,71,69.0,0.53358802929
290,Kern Union High,1530476,Liberty High,1230,54.4967479675,0.298972449739
291,Desert Sands Unified,3330669,La Quinta High,985,65.3644670051,0.441717002956
292,Garden Grove Unified,3035581,Pacifica High,1084,67.6328413284,0.475728758779
293,Santa Rosa High,4930160,Allen (Elsie) High,49,54.9591836735,0.688666300768
294,San Dieguito Union High,3730033,Torrey Pines High,2201,68.0417991822,0.639365324083
295,Anderson Union High,4530804,Anderson High,200,43.515,0.253796337651
296,Lodi Unified,3930443,Middle College High,11,91.0,0.594881537774
297,San Jose Unified,4338950,Willow Glen High,638,61.3197492163,0.745581677036
298,Golden Valley Unified,2030203,Liberty High,354,58.4463276836,0.272232885477
299,Campbell Union High,4330239,Leigh High,1322,56.1588502269,0.741318214033
300,Conejo Valley Unified,5630116,Westlake High,2109,69.3802750119,0.53258887876
301,Monterey Peninsula Unified,2735348,Seaside High,47,70.3191489362,0.674866063713
302,Antelope Valley Union High,1995398,Highland High,810,45.9987654321,0.419696176008
303,Sierra Unified,1036938,Sierra High,353,64.5580736544,0.390099741411
304,Corona-Norco Unified,3330701,Santiago High,2164,56.0891866913,0.432162875041
305,Antelope Valley Union High,1995406,Littlerock High,226,37.2433628319,0.492362982929
306,Newport-Mesa Unified,3031697,Corona del Mar High,1793,67.2163970998,0.47624178429
307,Grossmont Union High,3730066,Valhalla High,1492,61.5643431635,0.44045616003
308,Cotati-Rohnert Park Unified,4930046,El Camino High,12,33.0,0.729064800041
309,El Dorado Union High,934554,Independence Continuation,44,13.6590909091,0.376518218623
310,Fremont Unified,138693,Washington High,686,49.0655976676,0.759161490683
311,Torrance Unified,1938083,"Shery (Kurt T.) High, Cont.",19,21.0,0.680197090568
312,Perris Union High,3330727,Paloma Valley High,821,58.3922046285,0.445681281176
313,Fall River Joint Unified,4533600,Fall River Junior-Senior High,47,66.0425531915,0.330275229358
314,Windsor Unified,4930228,Windsor High,1056,51.6098484848,0.690663417876
315,Lucia Mar Unified,4033205,Lopez Continuation High,37,10.7837837838,0.530927105449
316,Pajaro Valley Unified,4430518,Aptos High,1093,54.8334858188,0.734965034965
317,Temecula Valley Unified,3330743,Chaparral High,1700,56.4176470588,0.423866370972
318,Los Angeles Unified,1995448,Francisco Bravo Medical Magne,11,100.0,0.870950978694
319,Mt. Diablo Unified,731836,Concord High,690,52.3463768116,0.66013560674
320,Kern Union High,1532605,Foothill High,64,45.15625,0.288645690834
321,East Side Union High,4335204,Oak Grove High,201,44.5572139303,0.723253757737
322,Silver Valley Unified,3630274,Silver Valley High,105,48.3714285714,0.383355350066
323,Cloverdale Unified,4930855,Cloverdale High,178,53.3426966292,0.625
324,Santa Rosa High,4930244,Carrillo (Maria) High,1405,68.1224199288,0.760627802691
325,San Lorenzo Unified,130849,Arroyo High,309,45.8446601942,0.789598540146
326,Oxnard Union High,5634761,Rio Mesa High,466,62.7982832618,0.733040003592
327,Hughson Unified,5032651,Hughson High,433,61.5311778291,0.390536723164
328,Nevada Joint Union High,2935500,Nevada Union High,1874,54.8916755603,0.486882716049
329,Yuba City Unified,5130018,Powell (Albert) Cont.,33,15.3333333333,0.402011581835
330,Fresno Unified,1032911,Herbert Hoover High,74,66.4054054054,0.574914546145
331,Los Angeles Unified,1934033,Hollywood Senior High,59,53.9830508475,0.869295923769
332,Fallbrook Union High,3732179,Fallbrook High,852,60.6549295775,0.408724700334
333,Oxnard Union High,5631619,Camarillo (Adolfo) High,1418,72.4739069111,0.524601734221
334,Milpitas Unified,4334470,Milpitas High,255,58.3921568627,0.761451562984
335,Oakland Unified,137943,Skyline High,69,71.8405797101,0.773475898939
336,Santa Barbara Unified,4235727,Santa Barbara Senior High,1083,73.4441366574,0.772852128796
337,Fort Bragg Unified,2331361,Fort Bragg High,148,48.527027027,0.695269788448
338,Vallejo City Unified,4830147,Bethel (Jesse M.) High,67,53.8656716418,0.737650351766
339,Chowchilla Union High,2032357,Chowchilla High,238,48.1638655462,0.42074776198
340,Red Bluff Joint Union High,5237201,Red Bluff High,733,47.4965893588,0.313456053928
341,Glendale Unified,1995497,Verdugo Academy,33,54.6666666667,0.66717603912
342,Biggs Unified,430827,Biggs High,14,29.0,0.404551201011
343,Oak Park Unified,5630256,Oak Park Independent,55,67.1818181818,0.679618001047
344,Contra Costa County Office of Education,6077168,Floyd Marchus,12,58.0,0.702267303103
345,Chaffey Joint Union High,3633906,Montclair High,52,44.1538461538,0.684804437219
346,Stockton Unified,3937406,Stagg Senior High,59,44.1186440678,0.594881537774
347,Sonora Union High,5536503,Sonora High,736,53.3777173913,0.402743379691
348,Santa Cruz City High,4432340,Harbor High,452,66.0353982301,0.838548185232
349,Victor Valley Union High,3638012,Victor Valley High,130,45.3615384615,0.447736654306
350,Folsom-Cordova Unified,113571,Vista del Lago High,1490,63.3724832215,0.496486605182
351,Willits Unified,2335487,Willits High,160,43.4625,0.610826064649
352,Folsom-Cordova Unified,3433216,Folsom High,1649,65.6343238326,0.496486605182
353,Porterville Unified,5434113,Porterville High,373,55.1313672922,0.288544358312
354,Glendale Unified,1934082,Herbert Hoover High,618,49.0663430421,0.657273715262
355,Riverside Unified,3330859,Martin Luther King Jr. High,1583,60.3739734681,0.529643427355
356,San Diego Unified,3730181,Mira Mesa High,414,68.7632850242,0.620477794411
357,Huntington Beach Union High,3030145,Ocean View High,440,55.5681818182,0.540354981437
358,Monterey Peninsula Unified,2732808,Monterey High,525,52.7352380952,0.678728493172
359,Ojai Unified,5634076,Nordhoff High,540,53.3722222222,0.733727810651
360,Linden Unified,3933959,Linden High,341,50.2140762463,0.871118012422
361,San Lorenzo Valley Unified,4436754,San Lorenzo Valley High,748,48.3502673797,0.825955943475
362,Long Beach Unified,1995539,Calif Acad Math and Science,107,100.0,0.641695637546
363,Placer Union High,3130135,Maidu High Independent Study,47,44.829787234,0.643084541917
364,Placentia-Yorba Linda Unified,6119556,Parkview,15,73.0,0.503782332845
365,Tulare Joint Union High,116368,Mission Oak High,377,47.2201591512,0.509095204347
366,Liberty Union High,733980,Liberty High,1230,48.6130081301,0.571727092258
367,Visalia Unified,5430046,Golden West High,401,36.72319202,0.464601769912
